                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 2.2896,                 2.2245,                 2.8787,                0.53146,                0.51814,                0.55471,                0.25413,                 1.9694,                 2.5713,                 2.8003,               0.006799,               0.006799,               0.006799
                     99,                 2.2905,                 2.2739,                 2.9345,                0.38029,                0.30864,                0.25493,                0.08721,                 2.1247,                 2.9295,                 2.9962,               0.006766,               0.006766,               0.006766
                    100,                 2.2902,                 2.2765,                 2.8812,                0.72188,                0.62963,                0.71934,                0.40424,                 1.8968,                 2.2493,                 2.7397,               0.006733,               0.006733,               0.006733
                    101,                  2.219,                 2.1732,                 2.8746,                0.61823,                0.58025,                  0.623,                0.31711,                 1.9431,                 2.3939,                 2.7859,                 0.0067,                 0.0067,                 0.0067
                    102,                 2.2084,                 2.1613,                 2.9007,                0.58327,                0.49383,                0.59237,                0.28659,                  1.927,                 2.3459,                 2.7655,               0.006667,               0.006667,               0.006667
                    103,                  2.163,                 2.1616,                 2.8015,                0.57581,                 0.5679,                0.62052,                0.26224,                 2.0374,                 2.2644,                  2.882,               0.006634,               0.006634,               0.006634
                    104,                 2.1196,                 2.2309,                 2.8148,                0.20914,                0.38272,                0.21823,                0.07164,                 2.0919,                 2.8153,                 2.9343,               0.006601,               0.006601,               0.006601
                    105,                 2.1904,                 2.1528,                 2.7906,                0.16756,                0.46914,                0.14762,                0.06321,                 1.9017,                 2.9105,                 2.7787,               0.006568,               0.006568,               0.006568
                    106,                  2.118,                 2.1516,                 2.7921,                0.06757,                0.38272,                0.08485,                0.03033,                 2.0228,                 3.8872,                 2.8666,               0.006535,               0.006535,               0.006535
                    107,                 2.0608,                 2.1294,                 2.7665,                0.09444,                0.25926,                0.07043,                0.03021,                 1.9535,                 3.3197,                 2.8914,               0.006502,               0.006502,               0.006502
                    108,                 2.1218,                 2.1419,                 2.7768,                0.16634,                0.22222,                 0.0866,                 0.0357,                 1.9873,                 3.2791,                 2.9104,               0.006469,               0.006469,               0.006469
                    109,                 2.1245,                 2.0269,                 2.7606,                 0.4055,                0.46914,                0.37985,                0.17225,                 1.9959,                 2.4861,                 2.8614,               0.006436,               0.006436,               0.006436
                    110,                  2.077,                 2.0385,                 2.7527,                 0.3945,                0.50617,                0.39331,                0.19169,                 1.8586,                 2.3007,                 2.7433,               0.006403,               0.006403,               0.006403
                    111,                  2.047,                  1.921,                 2.7142,                0.44029,                0.49383,                0.38763,                0.15996,                 1.8185,                 2.2653,                 2.7537,                0.00637,                0.00637,                0.00637
                    112,                 2.1026,                 2.0438,                  2.816,                0.62506,                0.51852,                0.61002,                0.31002,                 1.9151,                 2.1704,                 2.7536,               0.006337,               0.006337,               0.006337
                    113,                 2.0676,                 2.0301,                 2.6479,                0.76519,                0.50617,                0.69256,                0.34927,                 1.7205,                 2.1431,                 2.6715,               0.006304,               0.006304,               0.006304
                    114,                 2.0655,                 2.0301,                 2.6783,                0.92193,                0.58321,                0.74337,                0.42104,                 1.7718,                 2.0227,                  2.615,               0.006271,               0.006271,               0.006271
                    115,                 2.0993,                 1.9788,                 2.7199,                0.71679,                0.75309,                 0.7626,                0.45739,                 1.8735,                 1.9232,                 2.6514,               0.006238,               0.006238,               0.006238
                    116,                 2.1049,                 2.0609,                 2.7445,                0.59937,                0.58025,                0.65057,                 0.3771,                 1.9304,                  2.233,                   2.69,               0.006205,               0.006205,               0.006205
                    117,                 2.0513,                 2.0259,                 2.7067,                 0.5218,                0.55556,                0.51614,                0.30751,                 1.6644,                 2.1758,                 2.4689,               0.006172,               0.006172,               0.006172
                    118,                 1.9836,                  2.023,                 2.6309,                0.57941,                0.59529,                0.63096,                0.33405,                 1.5987,                 2.1593,                 2.4224,               0.006139,               0.006139,               0.006139
                    119,                 1.9277,                 1.8915,                 2.6034,                0.62492,                0.59654,                 0.6783,                0.34598,                 1.6202,                 2.1251,                  2.418,               0.006106,               0.006106,               0.006106
                    120,                 2.0111,                 1.9514,                 2.6304,                0.59281,                0.61728,                0.67234,                0.33866,                 1.6383,                 2.0571,                 2.4098,               0.006073,               0.006073,               0.006073
                    121,                 1.9969,                 1.9052,                 2.6459,                 0.6609,                0.62565,                0.69494,                0.38038,                 1.6236,                 1.9867,                 2.4127,                0.00604,                0.00604,                0.00604
                    122,                 2.0169,                 1.8839,                 2.6135,                0.70199,                0.64198,                0.74917,                0.43288,                 1.8483,                 1.9688,                 2.6141,               0.006007,               0.006007,               0.006007
                    123,                 1.9271,                 1.9155,                 2.6203,                0.69066,                 0.7037,                0.77755,                0.44849,                 1.8576,                 1.8474,                 2.6118,               0.005974,               0.005974,               0.005974
                    124,                 1.9872,                 1.8899,                 2.5842,                0.74391,                0.75313,                 0.7815,                0.40309,                 1.9595,                 1.9782,                 2.6899,               0.005941,               0.005941,               0.005941
                    125,                 2.0109,                 1.9598,                 2.6187,                0.76962,                0.74074,                0.84697,                0.49367,                 1.6571,                 1.7587,                 2.4253,               0.005908,               0.005908,               0.005908
                    126,                 1.9447,                 1.8655,                 2.6048,                0.81754,                0.74074,                0.85223,                0.48133,                  1.617,                 1.8646,                 2.4069,               0.005875,               0.005875,               0.005875
                    127,                 1.8766,                 1.8557,                  2.641,                0.72269,                0.76543,                0.78861,                0.40688,                 1.7798,                 1.9484,                 2.5749,               0.005842,               0.005842,               0.005842
                    128,                 1.9787,                  1.924,                 2.6672,                0.79327,                0.71605,                0.80503,                0.44455,                 1.7806,                  1.872,                 2.5335,               0.005809,               0.005809,               0.005809
